2022-03-12 23:37:27,424 [Worker-0: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2022-03-12 23:38:07,635 [Worker-0: Creating project "LearnAutomationOnline"] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: group:LearnAutomationOnline:0.0.1-SNAPSHOT @ C:\Users\Vijay Roshan\Eclipse Workspace\AutomationFiles\LearnAutomationOnline\pom.xml.
2022-03-12 23:38:07,777 [Worker-0: Creating project "LearnAutomationOnline"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /LearnAutomationOnline/src/main/java
2022-03-12 23:38:07,778 [Worker-0: Creating project "LearnAutomationOnline"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /LearnAutomationOnline/src/main/resources
2022-03-12 23:38:07,779 [Worker-0: Creating project "LearnAutomationOnline"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /LearnAutomationOnline/src/test/java
2022-03-12 23:38:07,779 [Worker-0: Creating project "LearnAutomationOnline"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /LearnAutomationOnline/src/test/resources
2022-03-12 23:38:08,396 [Worker-2: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-03-12 23:38:08,400 [Worker-2: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-03-12 23:38:08,402 [Worker-2: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-03-12 23:38:08,403 [Worker-2: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-03-12 23:38:28,328 [Worker-2: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: group:LearnAutomationOnline:0.0.1-SNAPSHOT @ C:\Users\Vijay Roshan\Eclipse Workspace\AutomationFiles\LearnAutomationOnline\pom.xml.
2022-03-12 23:38:28,491 [Worker-2: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-03-12 23:38:28,493 [Worker-2: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
